host_id,host_url,host_name,num_dirty_reviews
3707804,https://www.airbnb.com/users/show/3707804,Emma,1
209297769,https://www.airbnb.com/users/show/209297769,Tahvory And Billy,1
20045562,https://www.airbnb.com/users/show/20045562,Diana,1
21621574,https://www.airbnb.com/users/show/21621574,Aki,1
125073653,https://www.airbnb.com/users/show/125073653,Paul,1
15779286,https://www.airbnb.com/users/show/15779286,Sharat,1
15178224,https://www.airbnb.com/users/show/15178224,Jennifer,1
20722381,https://www.airbnb.com/users/show/20722381,Christina,1
122439138,https://www.airbnb.com/users/show/122439138,Nate,1
426068819,https://www.airbnb.com/users/show/426068819,Christopher Paul,1
381055045,https://www.airbnb.com/users/show/381055045,Christianna,1
1857717,https://www.airbnb.com/users/show/1857717,Rex,1
